tmdbId,title,combined_features
451,Leaving Las Vegas (1995),prostitute alcoholism alcoholic falling in love with a prostitute nicolascage elisabethshue juliansands johno'brien drama romance
16420,Othello (1995),italy black man white woman marriage black man white woman sex black man white woman kiss laurencefishburne irènejacob kennethbranagh oliverparker drama
9263,Now and Then (1995),1970s year 1991 1990s year 1970 christinaricci rosieo'donnell thorabirch i.marleneking children drama
17015,Persuasion (1995),captain accident napoleonic wars marriage amandaroot ciaránhinds susanfleetwood rogermichell drama romance
902,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",psychotronic film underwater scene children dream ronperlman danielemilfork judithvittet jean-pierrejeunet adventure drama fantasy mystery sci-fi
37557,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),ligong baotianli xiaoxiaowang feiyubi crime drama
9909,Dangerous Minds (1995),teacher student relationship ex marine pregnancy high school principal michellepfeiffer georgedzundza courtneyb.vance louannejohnson drama
63,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),time travel virus mental institution underground josephmelito brucewillis jonseda chrismarker mystery sci-fi thriller
78802,Wings of Courage (1995),airmail period piece 3 dimensional craigsheffer tomhulce elizabethmcgovern alaingodard adventure romance imax
9598,Babe (1995),farmer pig sheep farm christinecavanaugh miriammargolyes dannymann dickking-smith children drama
47018,Carrington (1995),writer gay rape f rated emmathompson jonathanpryce stevenwaddington christopherhampton drama romance
687,Dead Man Walking (1995),nun solitary confinement execution capital punishment susansarandon seanpenn robertprosky helenprejean crime drama
139405,Across the Sea of Time (1995),donald trump immigrant 11 year old brooklyn new york city peterreznick johnmcdonough avihoffman stephenlow documentary imax
33689,It Takes Two (1995),mistaken identity identity swapping nylon stockings child plays matchmaker kirstiealley steveguttenberg mary-kateolsen deborahdeandavis children comedy
9603,Clueless (1995),miniskirt girl wears a miniskirt short skirt virgin aliciasilverstone staceydash brittanymurphy amyheckerling comedy romance
34615,"Cry, the Beloved Country (1995)",1940s racial tension apartheid south africa jamesearljones richardharris vusikunene ronaldharwood drama
31174,Richard III (1995),fascist dog tank battle christopherbowen edwardjewesbury ianmckellen ianmckellen drama war
11443,Dead Presidents (1995),vietnam war 1960s black panthers new york city larenztate keithdavid christucker allenhughes action crime drama
35196,Restoration (1995),17th century plague based on novel king charles ii robertdowneyjr. samneill davidthewlis rosetremain drama
9312,Mortal Kombat (1995),based on video game campy evil man villain christopherlambert robinshou lindenashby edboon action adventure fantasy
577,To Die For (1995),scantily clad female new hampshire television coitus nicolekidman mattdillon joaquinphoenix joycemaynard comedy drama thriller
11861,How to Make an American Quilt (1995),younger version of character triple f rated title directed by female love kaelynncraddick saracraddick katecapshaw whitneyotto drama romance
807,Seven (a.k.a. Se7en) (1995),serial killer detective serial murder seven deadly sins morganfreeman andrewkevinwalker danielzacapa andrewkevinwalker mystery thriller
10530,Pocahontas (1995),unsubtitled foreign language disobedience pocahontas character captain john smith character joebaker christianbale irenebedard ericgoldberg animation children drama musical romance
8391,When Night Is Falling (1995),christian teacher scissoring tribadism pascalebussières rachaelcrawford henryczerny patriciarozema drama romance
629,"Usual Suspects, The (1995)",criminal suspect criminal mastermind flashback stephenbaldwin gabrielbyrne beniciodeltoro christophermcquarrie crime mystery thriller
117164,Guardian Angel (1994),murder of a police officer shooting a police officer police officer police officer killed cynthiarothrock danielmcvicar lydiedenier richardw.munchkin action drama thriller
11448,Mighty Aphrodite (1995),new york city talking about sex husband wife relationship hot pamelablair reneceballos eliechaib woodyallen comedy drama romance
49133,Lamerica (1994),albania one word title poverty fraud enricoloverso micheleplacido piromilkani gianniamelio adventure drama
26441,"Big Green, The (1995)",close up of eyes texas fast motion sports team steveguttenberg oliviad'abo jayo.sanders hollygoldbergsloan children comedy
97406,Georgia (1995),voyeur sex in bed female rear nudity female frontal nudity jenniferjasonleigh marewinningham tedlevine barbaraturner drama
124057,Kids of the Round Table (1995),sword magic 11 year old boy johnnymorina maggiecastle christopherolscamp roberttinnell adventure children comedy fantasy
9089,Home for the Holidays (1995),thanksgiving gay sibling female protagonist dysfunctional family hollyhunter robertdowneyjr. annebancroft chrisradant drama
11010,"Postman, The (Postino, Il) (1994)",postman poetry island poet philippenoiret massimotroisi mariagraziacucinotta massimotroisi comedy drama romance
99040,"Confessional, The (Confessionnal, Le) (1995)",reference to joan of arc 1950s priest hitchcockian lothairebluteau patrickgoyette jean-louismillette robertlepage drama mystery
11359,"Indian in the Cupboard, The (1995)",robocop character five word title child protagonist miniature person halscardino litefoot lindsaycrouse lynnereidbanks adventure children fantasy
17182,Eye for an Eye (1996),pantyhosed leg rape vigilante rape and murder sallyfield edharris oliviaburnette erikaholzer drama thriller
2054,Mr. Holland's Opus (1995),teaching high school 1990s deafness richarddreyfuss glenneheadly jaythomas patricksheaneduncan drama
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),hood parody grandmother cult film shawnwayans marlonwayans traceycherellejones southcentral comedy crime
19760,Two if by Sea (1996),painting island thief voyeur denisleary sandrabullock stephendillane denisleary comedy romance
9536,Bio-Dome (1996),bio dome experiment biosphere slapstick comedy williamatherton denisedowse daratomanovich adamleff comedy
11525,Lawnmower Man 2: Beyond Cyberspace (1996),psychotronic film computer parking garage sword patrickbergin mattfrewer austino'brien farhadmann action sci-fi thriller
40628,Two Bits (1995),man wears eyeglasses old man suicide by hanging great depression jerrybarone maryelizabethmastrantonio alpacino josephstefano drama
4482,French Twist (Gazon maudit) (1995),f rated lesbian strong female character polyamorous relationship victoriaabril josianebalasko alainchabat patrickaubrée comedy romance
10634,Friday (1995),adult lives at home hat drug user drug icecube christucker nialong icecube comedy
755,From Dusk Till Dawn (1996),sex offender vampire stripper rape victim georgeclooney quentintarantino harveykeitel robertkurtzman action comedy horror thriller
11859,Fair Game (1995),female lawyer spy based on novel woman in jeopardy williambaldwin cindycrawford stevenberkoff paulagosling action
28387,Kicking and Screaming (1995),female stockinged legs pantyhose slacker beer drinking joshhamilton samuelgould catherinekellner noahbaumbach comedy drama
48750,"Misérables, Les (1995)",lawyer boxer jewish paris france jean-paulbelmondo michelboujenah alessandramartines victorhugo drama war
20927,Bed of Roses (1996),florist flower widower rooftop christianslater marystuartmasterson pamelaadlon michaelgoldenberg drama romance
36929,Big Bully (1996),close up of eyes close up of lips close up of mouth bully rickmoranis tomarnold juliannephillips markstevenjohnson comedy drama
9102,Screamers (1995),stop motion matte painting miniature model shakespearean quotation peterweller roydupuis jenniferrubin philipk.dick action sci-fi thriller
124626,Nico Icon (1995),f rated female musician singer songwriter interview nico tinaaumont christianpäffgen susanneofteringer documentary
27526,"Crossing Guard, The (1995)",hit and run obsession forgiveness loneliness jacknicholson davidmorse anjelicahuston seanpenn action crime drama thriller
9623,"Juror, The (1996)",female frontal nudity female nudity ankle holster ankle demimoore alecbaldwin josephgordon-levitt georgedawesgreen drama thriller
46785,"White Balloon, The (Badkonake sefid) (1995)",money little girl shopkeeper snake charmer aidamohammadkhani mohsenkafili fereshtehsadreorafaiy abbaskiarostami children drama
400,Things to Do in Denver When You're Dead (1995),debt contract killer one last job gangster andygarcia christopherlloyd williamforsythe scottrosenberg crime drama romance
880,Antonia's Line (Antonia) (1995),f rated feminist film character name as title one word title willekevanammelrooy elsdottermans doravandergroen marleengorris comedy drama
146599,Once Upon a Time... When We Were Colored (1995),segregation rural setting race relations prejudice alfreemanjr. phyliciarashad leon cliftonl.taulbert drama romance
188588,Last Summer in the Hamptons (1995),f rated long island actress written and directed by cast member victoriafoyt vivecalindfors jonrobinbaitz henryjaglom comedy drama
8447,Angels and Insects (1995),aristocrat insect england bare chested male markrylance kristinscottthomas patsykensit a.s.byatt drama romance
10534,White Squall (1996),sail squall storm male bonding jeffbridges carolinegoodall johnsavage charlesgiegjr. action adventure drama
17414,Dunston Checks In (1996),brother brother relationship air duct hotel owner concierge jasonalexander fayedunaway ericlloyd johnhopkins children comedy
13997,Black Sheep (1996),clumsiness embarrassment political campaign slapstick comedy chrisfarley davidspade timmatheson fredwolf comedy
2086,Nick of Time (1995),real time conservatism vigilantism character repeats someone else's dialogue johnnydepp courtneychase charless.dutton patricksheaneduncan action thriller
61548,The Journey of August King (1995),slave freedom slave owner law jasonpatric thandienewton larrydrake johnduigan drama
9095,Mary Reilly (1996),housemaid servant laboratory butler juliaroberts johnmalkovich georgecole valeriemartin drama horror thriller
12158,Vampire in Brooklyn (1995),vampire yellow eyes african american brooklyn new york city eddiemurphy angelabassett allenpayne eddiemurphy comedy horror romance
9283,Beautiful Girls (1996),cheating wife skank loves knows no age boundaries bangs mattdillon noahemmerich annabethgish scottrosenberg comedy drama romance
9208,Broken Arrow (1996),male male relationship good versus evil evil man villain johntravolta christianslater samanthamathis grahamyost action adventure thriller
40154,In the Bleak Midwinter (1995),christmas actor play british renaissance richardbriers hettacharnley joancollins kennethbranagh comedy drama
406,"Hate (Haine, La) (1995)",police arab gun ghetto vincentcassel hubertkoundé saïdtaghmaoui mathieukassovitz crime drama
45549,Shopping (1994),shopping shop shopping mall stealing sadiefrost judelaw seanpertwee paulw.s.anderson action thriller
63076,Heidi Fleiss: Hollywood Madam (1995),narration prostitution nickbroomfield ninaxiningzuo madamalex nickbroomfield documentary
11062,City Hall (1996),mayor dealer drug dealer deputy mayor alpacino johncusack bridgetfonda kenlipper drama thriller
13685,Bottle Rocket (1996),texas caper dark comedy motel lukewilson owenwilson neddowd owenwilson adventure comedy crime romance
47475,Mr. Wrong (1996),date single woman television studio stalker ellendegeneres billpullman joancusack chrismatheson comedy
2045,Unforgettable (1996),self experimentation implanted memory murder memory rayliotta lindafiorentino petercoyote billgeddie mystery sci-fi thriller
9614,Happy Gilmore (1996),golf golf ball golf course black panties adamsandler christophermcdonald juliebowen timherlihy comedy
688,"Bridges of Madison County, The (1995)",bridge love farm photographer clinteastwood merylstreep anniecorley merylstreep drama romance
11907,Nobody Loves Me (Keiner liebt mich) (1994),f rated female nudity bath mariaschrader pierresanoussi-bliss michaelvonau dorisdörrie comedy drama
10874,Muppet Treasure Island (1996),breaking the fourth wall miss piggy character swedish chef character kermit the frog character timcurry billyconnolly jennifersaunders davidlane adventure children comedy musical
89333,Catwalk (1996),fashion paris france one word title new york city christyturlington azzedinealaïa giorgioarmani robertleacock documentary
96357,Headless Body in Topless Bar (1995),topless bar topless stripper jeans raymondj.barry rustambranaman jennifermacdonald jamesbruce comedy drama thriller
197,Braveheart (1995),scotland revolt based on true story england jamesrobinson seanlawlor sandynelson randallwallace action drama war
103,Taxi Driver (1976),crime drama thriller
33542,Rumble in the Bronx (Hont faan kui) (1995),coors light coast guard helicopter collapsing building jackiechan anitamui françoiseyip edwardtang action adventure comedy crime
43566,Before and After (1996),based on novel suspect lie boyfriend girlfriend relationship merylstreep liamneeson edwardfurlong rosellenbrown drama mystery
71754,Margaret's Museum (1995),alliteration in title two word title name in title female name in title helenabonhamcarter cliverussell craigolejnik sheldoncurrie drama
43612,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",claim in title rural setting gascony missing person michelserrault eddymitchell sabineazéma étiennechatiliez comedy
51352,Anne Frank Remembered (1995),reference to anne frank 1940s 1930s soldier kennethbranagh jannybrandes-brilslijper glennclose jonblair documentary
16934,"Young Poisoner's Handbook, The (1995)",poisoner murderer death by poison murder by poison tobiasarnold ruthsheen rogerlloydpack benjaminross crime drama
10324,If Lucy Fell (1996),love roommate new york city lingerie slip sarahjessicaparker ericschaeffer benstiller ericschaeffer comedy romance
78406,"Steal Big, Steal Little (1995)",lawyer estate twin brother brother brother relationship andygarcia alanarkin rachelticotin andrewdavis comedy
55731,Race the Sun (1996),high school student teenage boy teenage girl solar car halleberry jimbelushi billhunter barrymorrow adventure comedy drama
32119,"Boys of St. Vincent, The (1992)",orphanage boy priest sexual abuse henryczerny johnnymorina briandooley deswalsh drama
11066,Boomerang (1992),advertising executive african american protagonist yuppie chauvinist eddiemurphy robingivens halleberry barryw.blaustein comedy romance
11104,Chungking Express (Chung Hing sam lam) (1994),hong kong spoken inner thoughts drug smuggling expiration date brigittelin tonychiu-waileung fayewong kar-waiwong drama mystery romance
37975,"Star Maker, The (Uomo delle stelle, L') (1995)",girl nipples breasts unfaithfulness sergiocastellitto tizianalodato francoscaldati giuseppetornatore drama
2074,Flirting With Disaster (1996),road movie husband wife relationship overalls dysfunctional family benstiller patriciaarquette téaleoni davido.russell comedy
27793,"NeverEnding Story III, The (1994)",sequel by name only cult film playing guitar new kid in school jasonjamesrichter melodykay jackblack jefflieberman adventure children fantasy
44284,"Silences of the Palace, The (Saimt el Qusur) (1994)",belly dancing pregnant from rape teenage sexuality pregnant woman vomiting hindsabri ghalialacroix nejiaouerghi nouribouzid drama
290157,Jupiter's Wife (1994),central park american society for the prevention of cruelty to animals park actor maggiecogan katinapendleton michelnegroponte documentary
110972,Pie in the Sky (1996),dance traffic jam traffic helicopter joshcharles anneheche johngoodman bryangordon comedy romance
32622,Angela (1995),girl mental illness tween girl sister sister relationship mirandarhyne charlotteeveblythe annathomson rebeccamiller drama
73067,Frankie Starlight (1995),boy ireland writer flashback corbanwalker nialltoibin owenroe ronano'leary drama romance
11863,Jade (1995),female full frontal nudity murder of a nude woman panties pulled down breasts davidcaruso lindafiorentino chazzpalminteri joeeszterhas thriller
55475,Nueba Yol (1995),new york intentionally misspelled title snowman snowball fight luisitomartí caridadravelo raúlcarbonell ángelmuñiz comedy drama
124636,Sonic Outlaws (1995),copyright guerilla art media lloyddunn chrisgrigg markhosler craigbaldwin documentary
9101,Down Periscope (1996),woman in uniform cook electrician sonar operator kelseygrammer laurenholly robschneider hughwilson comedy
123360,From the Journals of Jean Seberg (1995),marriage fbi black panthers politics marybethhurt jeanseberg markrappaport documentary
5757,Man of the Year (1995),magazine centerfold contest date vivianpaxton claudettesutherland michaelornstein dirkshafer documentary
39428,"Neon Bible, The (1995)",teenage boy 1940s british renaissance georgia jacobtierney drakebell genarowlands terencedavies drama
124639,Target (1995),mohanagashe barunchakraborty champa sandipray action drama
9302,Up Close and Personal (1996),mentor protege relationship journalism television news television broadcast robertredford michellepfeiffer stockardchanning joandidion drama romance
11000,"Birdcage, The (1996)",gay father remake of french film based on play transvestism robinwilliams genehackman nathanlane jeanpoiret comedy
525153,Shadows (Cienie) (1988),drama
249882,Gospa (1995),priest nun semi religious propaganda martinsheen michaelyork morganfairchild ivanaralica drama
16388,"Brothers McMullen, The (1995)",irish catholic long island low budget film loss of father sharialbert maxinebahns catharinebolz edwardburns comedy
9737,Bad Boys (1995),criminal investigation murder investigation usa united states lisaboyle michaeltaliferro emmanuelxuereb georgegallo action comedy crime drama thriller
30765,"Amazing Panda Adventure, The (1995)",boyfriend girlfriend relationship actor shares first name with character no opening credits panda stephenlang ryanslater yiding johnwilcox adventure children
10474,"Basketball Diaries, The (1995)",addiction childhood friend student athlete basketball leonardodicaprio lorrainebracco marilynsokol jimcarroll drama
22279,"Awfully Big Adventure, An (1995)",accidental incest overalls speech man wears eyeglasses alanrickman hughgrant georginacates mikenewell drama
30157,Amateur (1994),pornographer new york city nun amnesia isabellehuppert martindonovan elinalöwensohn halhartley crime drama thriller
568,Apollo 13 (1995),1970s survival astronaut space mission tomhanks billpaxton kevinbacon jimlovell adventure drama imax
11780,Rob Roy (1995),scotland highlands 18th century flintlock pistol liamneeson jessicalange johnhurt alansharp action drama romance war
34996,"Addiction, The (1995)",psychotronic film vampire new york drugs lilitaylor christopherwalken annabellasciorra nicholasst.john drama horror
414,Batman Forever (1995),bruce wayne character batman character alfred pennyworth character harvey dent character valkilmer tommyleejones jimcarrey bobkane action adventure comedy crime
649,Beauty of the Day (Belle de jour) (1967),drama
1873,Beyond Rangoon (1995),burma escape dictatorship doctor patriciaarquette uaungko francesmcdormand johnboorman adventure drama war
5894,Blue in the Face (1995),bare breasts topless female nudity husband wife relationship cigar smoking loureed michaelj.fox roseannebarr waynewang comedy drama
1775,Canadian Bacon (1995),international relations the white house united states president johncandy alanalda rheaperlman michaelmoore comedy war
8839,Casper (1995),ghost mansion spirit friendly ghost chaunceyleopardi spencervrooman malachipearson josephoriolo adventure children
20649,Clockers (1995),italian american jewish american brooklyn bridge reference to rosa parks harveykeitel johnturturro delroylindo richardprice crime drama mystery
10329,Congo (1995),lost city gorilla diamond talking gorilla lauralinney dylanwalsh erniehudson michaelcrichton action adventure mystery sci-fi
8963,Crimson Tide (1995),submarine u.s. navy 1990s submarine captain denzelwashington genehackman mattcraven michaelschiffer drama thriller war
26564,Crumb (1994),robert crumb cartoonist underground comic psychotronic film robertcrumb alinekominsky-crumb charlescrumb robertcrumb documentary
8068,Desperado (1995),contemporary western mexican one against many lone wolf antoniobanderas salmahayek joaquimdealmeida robertrodriguez action romance western
8512,Devil in a Blue Dress (1995),african american jazz club private detective missing person denzelwashington tomsizemore jenniferbeals waltermosley crime film-noir mystery thriller
1572,Die Hard: With a Vengeance (1995),john mcclane character time bomb good versus evil male butt clench brucewillis jeremyirons samuell.jackson jonathanhensleigh action crime thriller
13552,"Doom Generation, The (1995)",one female two males threesome pubic hair fellatio threesome jamesduval rosemcgowan johnathonschaech greggaraki comedy crime drama
259209,Feast of July (1995),sex scene cobbler the shoemaker shoe 19th century embethdavidtz tombell gemmajones h.e.bates drama
6520,First Knight (1995),based on legend love triangle romantic drama arthurian legend seanconnery richardgere juliaormond lornecameron action drama romance
9073,Free Willy 2: The Adventure Home (1995),whale boy oil tanker oil spill jasonjamesrichter franciscapra marykateschellhardt keithwalker adventure children drama
10428,Hackers (1995),computer virus computer cyberpunk hacker jonnyleemiller angelinajolie jessebradford rafaelmoreu action adventure crime thriller
17447,Jeffrey (1995),gay gay priest new york city gay lead character stevenweber peterjacobson tomcayler christopherashley comedy drama
9886,Johnny Mnemonic (1995),implanted memory virtual reality cyberspace erased memory keanureeves dinameyer ice-t williamgibson action sci-fi thriller
9482,Judge Dredd (1995),based on comic book cult film judge police sylvesterstallone armandassante robschneider johnwagner action crime sci-fi
19326,Jury Duty (1995),jury dog court hotel paulyshore tiacarrere stanleytucci barbarawilliams comedy
9344,Kids (1995),virgin rape swimming in underwear sexual abuse leofitzpatrick sarahhenderson justinpierce harmonykorine drama
9071,Living in Oblivion (1995),neo screwball comedy looking at oneself in a mirror 1990s filmmaking stevebuscemi catherinekeener dermotmulroney tomdicillo comedy
8973,Lord of Illusions (1995),neo noir private detective magician illusionist scottbakula j.trevoredmond danielvonbargen clivebarker horror
15730,Love & Human Remains (1993),lesbian dominatrix gay sex thomasgibson ruthmarshall cameronbancroft denysarcand comedy drama
47608,Mad Love (1995),hitchhiking brief female frontal nudity attempted suicide voyeur chriso'donnell drewbarrymore matthewlillard paulamilne drama romance
2293,Mallrats (1995),mall jay and silent bob mini dress blonde shannendoherty jeremylondon jasonlee kevinsmith comedy romance
9070,Mighty Morphin Power Rangers: The Movie (1995),costume fake mustache warrioress prehistory karanashley johnnyyongbosch stevecardenas johnkamps action children
68274,Moonlight and Valentino (1995),female rear nudity sister sister relationship house painter widow elizabethperkins whoopigoldberg shadiasimmons ellensimon drama romance
48787,Mute Witness (1994),mute chase russian mafia cult film marinazudina fayripley evanrichards anthonywaller comedy horror thriller
34574,Nadja (1994),vampire female vampire boxing practice morgue elinalöwensohn nicratner karlgeary michaelalmereyda drama
1642,"Net, The (1995)",computer identity identity theft computer hacker sandrabullock jeremynortham dennismiller johnbrancato action crime thriller
11472,Nine Months (1995),time for title bad dream close up of eyes close up of lips hughgrant juliannemoore tomarnold patrickbraoudé comedy romance
36196,Party Girl (1995),female stockinged legs title directed by female triple f rated library parkerposey anthonydesando guillermodíaz harrybirckmayer comedy
11980,"Prophecy, The (1995)",profanity porn magazine pizza black comedy christopherwalken eliaskoteas virginiamadsen gregorywiden fantasy horror mystery
58372,Reckless (1995),christmas female protagonist fictional game show trauma miafarrow tonygoldwyn juanabarrios craiglucas comedy fantasy
32646,Safe (1995),psychiatrist housewife allergy female protagonist juliannemoore xanderberkeley deannorris toddhaynes thriller
10533,"Scarlet Letter, The (1995)",17th century adultery letter swimming demimoore garyoldman robertduvall nathanielhawthorne drama romance
56088,The Show (1995),hip hop concert film vulgarity afrikabambaataa kurtisblow sean'diddy'combs craigmack documentary
10802,Showgirls (1995),stripper lap dancing female nudity striptease elizabethberkley kylemaclachlan ginagershon joeeszterhas drama
10149,Smoke (1995),smoke cigarette smoking death of wife year 1990 giancarloesposito josézúñiga stephengevedon paulauster comedy drama
18402,Something to Talk About (1995),adulterous husband female protagonist reconciliation scandal juliaroberts dennisquaid robertduvall calliekhouri comedy drama romance
9348,Species (1995),interspecies sex sex with an alien woman seduction sexual desire benkingsley michaelmadsen alfredmolina dennisfeldman horror sci-fi
139408,"Stars Fell on Henrietta, The (1995)",child in jeopardy family in jeopardy real life mother and daughter play mother and daughter oil field wildcatter robertduvall aidanquinn francesfisher jameskeach drama
281,Strange Days (1995),cyberpunk virtual reality murder rape ralphfiennes angelabassett juliettelewis jamescameron action crime drama mystery sci-fi thriller
5967,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",drama musical romance
79593,"Tie That Binds, The (1995)",man tied up bound and gagged woman tied up held hostage darylhannah keithcarradine moirakelly wesleystrick thriller
47939,Three Wishes (1995),son drifter dog baseball patrickswayze maryelizabethmastrantonio josephmazzello cliffordgreen drama fantasy
36834,Total Eclipse (1995),poet 1870s pregnant wife absinthe leonardodicaprio davidthewlis romanebohringer christopherhampton drama romance
9090,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",drag queen on the road new york city domestic violence wesleysnipes patrickswayze johnleguizamo douglascarterbeane comedy
3512,Under Siege 2: Dark Territory (1995),repeat sequel time bomb good versus evil man kills a woman stevenseagal ericbogosian everettmcgill richardhatem action
52856,Unstrung Heroes (1995),uncle nephew relationship terminal illness based on memoir eccentricity andiemacdowell johnturturro michaelrichards dianekeaton comedy drama
77350,Unzipped (1995),fashion one word title fashion runway modeling roseannebarr sandrabernhard robertbest isaacmizrahi documentary
9560,"Walk in the Clouds, A (1995)",falling in love 1940s post world war ii aftermath of world war ii keanureeves aitanasánchez-gijón anthonyquinn robertmarkkamen drama romance
9804,Waterworld (1995),nonconsensual haircut post apocalypse swimming global warming kevincostner chaimjeraffi rickaviles peterrader action adventure sci-fi
31611,White Man's Burden (1995),black bourgeois alternate reality alternate history dystopia johntravolta harrybelafonte kellylynch desmondnakano drama
65796,Wild Bill (1995),black and white to color two gun holster gun holster gun jeffbridges ellenbarkin johnhurt peterdexter western
49805,"Browning Version, The (1994)",army central intelligence agency cricket the sport firework albertfinney gretascacchi matthewmodine terencerattigan drama
26258,Bushwhacked (1995),slapstick comedy manhunt fbi agent stupidity danielstern jonpolito bradsullivan johnjordan adventure comedy crime mystery
50797,Burnt by the Sun (Utomlyonnye solntsem) (1994),stalinism year 1936 soviet citizen nkvd olegmenshikov nikitamikhalkov ingeborgadapkunaite nikitamikhalkov drama
19155,Before the Rain (Pred dozhdot) (1994),endless loop brother brother incest violence monk grégoirecolin josifjosifovski borisdelcevski milchomanchevski drama war
76,Before Sunrise (1995),conversations train french tourist ethanhawke juliedelpy andreaeckert richardlinklater drama romance
11017,Billy Madison (1995),crude humor banana peel high school graduation academic decathlon adamsandler darrenmcgavin bridgettewilson-sampras timherlihy comedy
37141,"Babysitter, The (1995)",seductive minidress sexy teenager sexpot aliciasilverstone jeremylondon j.t.walsh robertcoover drama thriller
9382,Boys on the Side (1995),lesbian female protagonist terminal illness domestic violence whoopigoldberg mary-louiseparker drewbarrymore donroos comedy drama
6715,"Cure, The (1995)",tickling bare chested male bare chested boy bare chested teenage boy bradrenfro aerykegan delphinefrench robertkuhn drama
18256,Castle Freak (1995),castle monster blind girl sex scene jeffreycombs barbaracrampton jonathanfuller stuartgordon horror
22625,Circle of Friends (1995),student pregnancy 1950s ireland chriso'donnell minniedriver geraldineo'rawe andrewdavies drama romance
2292,Clerks (1994),friendship low budget film friend convenience store briano'halloran jeffanderson marilynghigliotti kevinsmith comedy
1909,Don Juan DeMarco (1995),psychiatrist sex scene attempted suicide character name as title marlonbrando johnnydepp fayedunaway lordbyron comedy drama romance
8984,Disclosure (1994),casting couch sexual harassment seduction fellatio michaeldouglas demimoore donaldsutherland michaelcrichton drama thriller
61813,Dream Man (1995),vision psychic erotica police patsykensit brucegreenwood andrewmccarthy renébonnière thriller
4954,Drop Zone (1994),terrorist parachute skydiving death of brother wesleysnipes garybusey yancybutler tonygriffin action thriller
62488,Destiny Turns on the Radio (1995),heist desert supernatural power las vegas nevada dylanmcdermott nancytravis jameslegros robertramsey comedy
10531,Death and the Maiden (1994),suspense minimal cast single set production dictatorship sigourneyweaver benkingsley stuartwilson arieldorfman drama thriller
11929,Dolores Claiborne (1995),f rated watching tv woman wears eyeglasses character name as title kathybates jenniferjasonleigh judyparfitt stephenking drama thriller
